K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
K(434) : 105.67902383048025, 0.0 -> 105.67902383048025, 0.0*14.940142502458198
K(435) : 105.67902383048025, 0.0 -> 105.67902383048025, 0.0*14.928661013589682
K(436) : 105.67902383048025, 0.0 -> 105.67902383048025, 0.0*14.9218955378733
K(437) : 105.67902383048025, 0.0 -> 105.67902383048025, 0.0*14.929847388173219
K(438) : 105.67902383048025, 0.0 -> 105.67902383048025, 0.0*14.933527005372433
K(439) : 105.67902383048025, 0.0 -> 105.67902383048025, 0.0*14.914568356206907
B(440) : 105.67902383048025, 0.0 -> 70.72080822975826, 2.3536798450185796*14.85257889882896
S(441) : 70.72080822975826, 2.3536798450185796 -> 90.11408112059107, 1.0514076168023245*14.89187319720095
S(442) : 90.11408112059107, 1.0514076168023245 -> 99.9370914190532, 0.3924200373875223*14.906214631822383
S(443) : 99.9370914190532, 0.3924200373875223 -> 103.75898276520448, 0.13594077164460616*14.901365750096069
B(444) : 103.75898276520448, 0.13594077164460616 -> 66.87440368221678, 2.6193635922176277*14.852315432326183
S(445) : 66.87440368221678, 2.6193635922176277 -> 88.43139864320885, 1.1713810923989567*14.887607387307256
S(446) : 88.43139864320885, 1.1713810923989567 -> 99.25060834911977, 0.44654160123587916*14.926352437765793
S(447) : 99.25060834911977, 0.44654160123587916 -> 103.87098450008006, 0.13787487092341066*14.968818136904483
S(448) : 103.87098450008006, 0.13787487092341066 -> 105.46134866218979, 0.031622493214679706*14.967798334540728
S(449) : 105.46134866218979, 0.031622493214679706 -> 105.8263072569683, 0.007313123967332847*15.013083682471642
S(450) : 105.8263072569683, 0.007313123967332847 -> 105.92032259607826, 0.0010720010702240214*15.063849993006047
S(451) : 105.92032259607826, 0.0010720010702240214 -> 105.93557415943906, 5.5379411097376124e-05*15.002201875077144
S(452) : 105.93557415943906, 5.5379411097376124e-05 -> 105.93626510785857, 9.244674811223856e-06*14.976750170115945
S(453) : 105.93626510785857, 9.244674811223856e-06 -> 105.93637405481113, 1.983210585727235e-06*15.003441340425649
S(454) : 105.93637405481113, 1.983210585727235e-06 -> 105.9363989336191, 3.2646778618983957e-07*15.016699022706101
S(455) : 105.9363989336191, 3.2646778618983957e-07 -> 105.93640316617261, 4.5648598293053585e-08*15.072166329639881
S(456) : 105.93640316617261, 4.5648598293053585e-08 -> 105.93640382851999, 1.6483448970256918e-09*15.053262756697308
S(457) : 105.93640382851999, 1.6483448970256918e-09 -> 105.93640385153009, 1.1778501626471706e-10*15.033785088556343
S(458) : 105.93640385153009, 1.1778501626471706e-10 -> 105.93640385311053, 1.2706308430098985e-11*15.040603562499854
S(459) : 105.93640385311053, 1.2706308430098985e-11 -> 105.93640385328303, 1.2087194032979455e-12*15.002819322500784
S(460) : 105.93640385328303, 1.2087194032979455e-12 -> 105.9364038532982, 2.003801528153721e-13*15.04595125671968
S(461) : 105.9364038532982, 2.003801528153721e-13 -> 105.93640385330097, 1.7057970545002774e-14*15.133058604756325
S(462) : 105.93640385330097, 1.7057970545002774e-14 -> 105.93640385330123, 0.0*15.159809158045865
K(463) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.189148999721937
K(464) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.154594065522877
K(465) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.251279771931912
K(466) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.2629262790807
K(467) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.27324346548758
K(468) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.264537472035343
K(469) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.290622945343967
K(470) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.294072209755827
K(471) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.309081876267346
K(472) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.289560654220695
K(473) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.359024799866539
K(474) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.325718318401256
K(475) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.269965582380042
K(476) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.202183869079729
K(477) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.133082944116916
K(478) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.110663216979425
K(479) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.170029583319382
K(480) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.209960514407877
K(481) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.189919052643452
K(482) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.2519860836325
K(483) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.296083938051046
K(484) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.305495258893112
K(485) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.246295019087935
K(486) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.223752578618306
K(487) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.176645746109518
K(488) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.233270044079386
K(489) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.208184123989785
K(490) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.191418934773576
K(491) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.233159378930278
K(492) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.237642437409864
K(493) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.236930034985804
K(494) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.190916831513
K(495) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.205739618460184
K(496) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.2237631961289
K(497) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.171728597946723
K(498) : 105.93640385330123, 0.0 -> 105.93640385330123, 0.0*15.173189576349571
B(499) : 105.93640385330123, 0.0 -> 78.47214346232518, 1.8240821733774577*15.05648198958242
K(501) : 105.9807382483549, 0.0 -> 105.9807382483549, 0.0*15.148408792080335
K(502) : 105.9807382483549, 0.0 -> 105.9807382483549, 0.0*15.133658533679814
K(503) : 105.9807382483549, 0.0 -> 105.9807382483549, 0.0*15.147490235044208
K(504) : 105.9807382483549, 0.0 -> 105.9807382483549, 0.0*15.206770188224503
K(505) : 105.9807382483549, 0.0 -> 105.9807382483549, 0.0*15.150588805915941
K(506) : 105.9807382483549, 0.0 -> 105.9807382483549, 0.0*15.18917586502634
K(507) : 105.9807382483549, 0.0 -> 105.9807382483549, 0.0*15.145748557520061
B(508) : 105.9807382483549, 0.0 -> 74.4478270077232, 2.09173301803317*15.075017207636606
B(509) : 74.4478270077232, 2.09173301803317 -> 44.950910187749685, 4.047266170023464*15.083823452418727
B(510) : 44.950910187749685, 4.047266170023464 -> 27.69317926063164, 5.191467647556383*15.082772803552462
B(511) : 27.69317926063164, 5.191467647556383 -> 16.145357088000836, 5.959727272282197*15.031145463035536
B(512) : 16.145357088000836, 5.959727272282197 -> 8.154680597489596, 6.493493448498984*14.970368761743822
B(513) : 8.154680597489596, 6.493493448498984 -> 3.1238467534477845, 6.830019569375391*14.949311604520094
B(514) : 3.1238467534477845, 6.830019569375391 -> 0.8508858137071718, 6.981557197673454*14.99931710208553
B(515) : 0.8508858137071718, 6.981557197673454 -> 0.3073310382119745, 7.017718128738028*15.031548123707307
B(516) : 0.3073310382119745, 7.017718128738028 -> 0.12859624689250862, 7.0296653984350295*14.960304391916047
B(517) : 0.12859624689250862, 7.0296653984350295 -> 0.037538047208534, 7.03574729976408*14.971995558203297
B(518) : 0.037538047208534, 7.03574729976408 -> 0.011736974895099148, 7.0374732198059755*14.949170116307588
B(519) : 0.011736974895099148, 7.0374732198059755 -> 0.0031940147802241702, 7.0380473417551075*14.88004443618685
B(520) : 0.0031940147802241702, 7.0380473417551075 -> 0.00047709427381385956, 7.038229923908039*14.88053713235761
B(521) : 0.00047709427381385956, 7.038229923908039 -> 7.168166307774921e-05, 7.0382571329780905*14.89990690503264
B(522) : 7.168166307774921e-05, 7.0382571329780905 -> 1.323568995774002e-05, 7.03826104984245*14.921622953062819
B(523) : 1.323568995774002e-05, 7.03826104984245 -> 2.954355231292589e-06, 7.038261736390471*14.975405076542819
B(524) : 2.954355231292589e-06, 7.038261736390471 -> 9.244004430468003e-07, 7.038261871842576*14.986513308356788
B(525) : 9.244004430468003e-07, 7.038261871842576 -> 2.9425921986530563e-07, 7.038261913761271*15.032462586718186
B(526) : 2.9425921986530563e-07, 7.038261913761271 -> 1.1837114073663771e-07, 7.038261925389492*15.125967268875026
B(527) : 1.1837114073663771e-07, 7.038261925389492 -> 6.787602519752359e-08, 7.038261928721998*15.152291860461283
S(528) : 6.787602519752359e-08, 7.038261928721998 -> 66.61296470365477, 2.6632718626899745*15.225855060328072
S(529) : 66.61296470365477, 2.6632718626899745 -> 97.21597652409713, 0.6491744927377452*15.194405333625065
K(531) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.206823953392234
K(532) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.255880241118858
K(533) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.265573417274641
K(534) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.264764789265508
K(535) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.29331877956918
K(536) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.314967256531485
K(537) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.277560241246455
K(538) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.245237442569511
K(539) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.22952298748372
K(540) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.232375009224421
K(541) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.234663259283284
K(542) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.229471105513696
K(543) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.217316346269547
K(544) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.202467979637833
K(545) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.22971770271069
K(546) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.302851403204176
K(547) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.320745625927959
K(548) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.356639989971244
K(549) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.316874586940255
K(550) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.375190645746748
K(551) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.437708863602591
K(552) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.40655381750028
K(553) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.370437113316271
K(554) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.435239047887157
K(555) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.508872002707353
K(556) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.436808636868998
K(557) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.543024606587423
K(558) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.553183879802239
K(559) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.59409196306172
K(560) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.655830741833832
K(561) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.694471052777665
K(562) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.629707189964643
K(563) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.678003506682472
K(564) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.772621782250983
K(565) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.772342494796334
K(566) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.79168968537829
K(567) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.776422332169455
K(568) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.819725621718675
K(569) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.824923602382663
K(570) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.813479765527969
K(571) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.819059660405568
K(572) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.772006261428471
K(573) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.750926488188616
K(574) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.719116212048561
K(575) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.700215390399855
K(576) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.713715104135023
K(577) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.699720272329941
K(578) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.585752313708802
K(579) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.557499973779061
K(580) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.567216547772436
K(581) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.522412081317478
K(582) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.485652673579473
K(583) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.478592046988728
K(584) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.445582702955301
K(585) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.506600671459715
K(586) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.55791486693591
K(587) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.530003805213095
K(588) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.488902775210708
K(589) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.520489376452115
K(590) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.505569613421699
K(591) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.563550553124632
K(592) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.537627598077105
K(593) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.479564578846148
K(594) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.51765351496071
K(595) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.573318646060677
K(596) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.538387420885787
K(597) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.562468476729425
K(598) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.603960249077996
K(599) : 107.10167462208094, 0.0 -> 107.10167462208094, 0.0*15.664584116190568
B(120) : 100.0, 0.0 -> 2.926263507937321, 10.007817957674153*9.699790394131321
B(121) : 2.926263507937321, 10.007817957674153 -> 0.008706491738883493, 10.30823373705954*9.71173026319519
B(122) : 0.008706491738883493, 10.30823373705954 -> 9.344304871823639e-05, 10.309116173147718*9.760535415027329
B(123) : 9.344304871823639e-05, 10.309116173147718 -> 3.965821822237087e-06, 10.30912544071979*9.654872516916646
B(124) : 3.965821822237087e-06, 10.30912544071979 -> 0.0, 10.309125847874848*9.740323131008926
K(125) : 0.0, 10.309125847874848 -> 0.0, 10.309125847874848*9.798314771742984
B(127) : 100.25951602116166, 0.0 -> 4.471432454615993, 9.825926557203735*9.748503920611947
B(128) : 4.471432454615993, 9.825926557203735 -> 0.26505914752853243, 10.251655868596366*9.880393937001221
B(129) : 0.26505914752853243, 10.251655868596366 -> 0.03784471006557552, 10.274833809507133*9.803046713153607
B(130) : 0.03784471006557552, 10.274833809507133 -> 0.003550196164187197, 10.278327328794187*9.816609293803475
B(131) : 0.003550196164187197, 10.278327328794187 -> 0.00036352620486702946, 10.278655753876999*9.702882410914883
B(132) : 0.00036352620486702946, 10.278655753876999 -> 1.1049460088831896e-05, 10.278692595069634*9.567462928448723
B(133) : 1.1049460088831896e-05, 10.278692595069634 -> 0.0, 10.278693750205345*9.565508165082463
K(134) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.564855838297081
K(135) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.642658241363494
K(136) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.692908141361352
K(137) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.709109752219065
K(138) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.686501508587856
K(139) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.556232593444095
K(140) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.515091326891628
K(141) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.592266357785649
K(142) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.689745432282072
K(143) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.71187061064708
K(144) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.736028952320602
K(145) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.834085740733103
K(146) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.80516943793325
K(147) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.81029371489622
K(148) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.845897911231397
K(149) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.842360182241528
K(150) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.852165374855595
K(151) : 0.0, 10.278693750205345 -> 0.0, 10.278693750205345*9.988592101852431
B(153) : 102.57389250538544, 0.0 -> 27.69317423664171, 7.5323508963910015*9.941214807799456
B(154) : 27.69317423664171, 7.5323508963910015 -> 6.863663454622024, 9.655173772032528*9.81217558046378
B(155) : 6.863663454622024, 9.655173772032528 -> 1.185996453967733, 10.23079986684712*9.863463543088786
B(156) : 1.185996453967733, 10.23079986684712 -> 0.24031156865629122, 10.326196313740542*9.913208679228513
B(157) : 0.24031156865629122, 10.326196313740542 -> 0.05564595010219106, 10.344685537246033*9.987743319737707
B(159) : 103.30840544906725, 0.0 -> 28.0094914532489, 7.55170008672097*9.971120824597518
B(160) : 28.0094914532489, 7.55170008672097 -> 7.4292664678530755, 9.62788980818802*9.912497288953782
B(161) : 7.4292664678530755, 9.62788980818802 -> 1.7172285108870744, 10.206272020076437*9.87588801930163
B(162) : 1.7172285108870744, 10.206272020076437 -> 0.3603615235590345, 10.34401458786969*9.850745554305721
B(163) : 0.3603615235590345, 10.34401458786969 -> 0.0703523019359042, 10.373899250250561*9.704283017390363
B(164) : 0.0703523019359042, 10.373899250250561 -> 0.007741553981704868, 10.380299018811623*9.783283154196859
B(165) : 0.007741553981704868, 10.380299018811623 -> 0.0012075954340386589, 10.3809656602949*9.801308066757228
B(166) : 0.0012075954340386589, 10.3809656602949 -> 0.00020103157230353806, 10.381068350319508*9.801963390098464
B(167) : 0.00020103157230353806, 10.381068350319508 -> 3.354287646641928e-05, 10.381085460944222*9.788578653776625
B(168) : 3.354287646641928e-05, 10.381085460944222 -> 5.335624838532693e-06, 10.381088373777642*9.683784672993164
B(169) : 5.335624838532693e-06, 10.381088373777642 -> 5.23517272287074e-07, 10.381088869974786*9.697975143380845
B(170) : 5.23517272287074e-07, 10.381088869974786 -> 5.5687031480303065e-08, 10.381088918190914*9.702774925551076
B(171) : 5.5687031480303065e-08, 10.381088918190914 -> 6.078944327368162e-09, 10.38108892325009*9.80556773352639
B(172) : 6.078944327368162e-09, 10.38108892325009 -> 1.0270386937011774e-09, 10.381088923769623*9.723924900212124
B(173) : 1.0270386937011774e-09, 10.381088923769623 -> 1.247483764417908e-10, 10.381088923862352*9.730405773159399
B(174) : 1.247483764417908e-10, 10.381088923862352 -> 1.562269117708376e-11, 10.381088923873689*9.625562145164958
B(175) : 1.562269117708376e-11, 10.381088923873689 -> 1.003809254479897e-12, 10.381088923875222*9.534847478088645
B(176) : 1.003809254479897e-12, 10.381088923875222 -> 1.1534567450411475e-14, 10.381088923875327*9.52040203182374
B(177) : 1.1534567450411475e-14, 10.381088923875327 -> 3.5628805452091025e-17, 10.381088923875328*9.47354338223589
B(178) : 3.5628805452091025e-17, 10.381088923875328 -> 0.0, 10.381088923875328*9.455545199511842
K(179) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.47891897776729
K(180) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.363772540742554
K(181) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.194239530629071
K(182) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.288793643585596
K(183) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.363830588094597
K(184) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.597207182374351
K(185) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.519402144815107
K(186) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.440120260997869
K(187) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.515537265070815
K(188) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.53500070487689
K(189) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.602344089538628
K(190) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.60797701093312
K(191) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.673113563262882
K(192) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.714996042559942
K(193) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.772222244575081
K(194) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.782376742990106
K(195) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.841631058211865
K(196) : 0.0, 10.381088923875328 -> 0.0, 10.381088923875328*9.98235077793638
S(197) : 0.0, 10.381088923875328 -> 54.251862284723366, 4.972199599389062*10.030129852929868
K(199) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.050462494556324
K(200) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.022612140941813
K(201) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*9.973935864327506
K(202) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.028671407167563
K(203) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*9.979287338083175
K(204) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*9.969608025199525
K(205) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.107787650053174
K(206) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.117859969005325
K(207) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.179109756433045
K(208) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.149014924185881
K(209) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.12075024282265
K(210) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.247437972157444
K(211) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.142506671942481
K(212) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.173950656568836
K(213) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.106445524245744
K(214) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.039546969403062
K(215) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.1082272139592
K(216) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.11664535854097
K(217) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.18505421662196
K(218) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.19020857401106
K(219) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.398407839091751
K(220) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.3871495834496
K(221) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.318000603880595
K(222) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.438677248693633
K(223) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.393027546952055
K(224) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.307444844954246
K(225) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.338590975900981
K(226) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.560924512646057
K(227) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.523207620867735
K(228) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.506870971200499
K(229) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.493824169991477
K(230) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.529002164898227
K(231) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.60689594600368
K(232) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.552878275932652
K(233) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.61822713419984
K(234) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.52897132487577
K(235) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.466443806893894
K(236) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.522196908141394
K(237) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.37015320994672
K(238) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.367983267875339
K(239) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.494018155723893
K(240) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.397638197252062
K(241) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.282078979990013
K(242) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.228076583269104
K(243) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.045057075836848
K(244) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.078059403371883
K(245) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.032822099103436
K(246) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.08512503673808
K(247) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.061505224740353
K(248) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.185233165838946
K(249) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.153978031823085
K(250) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.16004081269012
K(251) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.183505182627428
K(252) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.191713817945832
K(253) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.188221659365869
K(254) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.121807490259384
K(255) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.177975815852731
K(256) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.24912431121002
K(257) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.189646195785034
K(258) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.134878210056469
K(259) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.159674327647567
K(260) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.137128381071953
K(261) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.203692646307486
K(262) : 104.69492726818446, 0.0 -> 104.69492726818446, 0.0*10.266418341564908
